Time,shadower,hero,adele,ark,bishop,archmage_fp
120,3.9657023523450923E12,4.789191327706644E12,5.224038618116307E12,3.085474671542388E12,1.2943855786094597E12,3.134308093871847E12
121,3.7030483930141685E12,4.917042431728957E12,5.257983087457406E12,3.0997376295715356E12,1.3197343356328235E12,3.1414292441706396E12
122,3.756897606792481E12,4.965941974993068E12,5.279245912312301E12,3.114000587600683E12,1.354905736002741E12,3.148550394469432E12
123,3.7945920564373E12,4.9040501144636045E12,5.300508737167195E12,3.128169088954141E12,1.3830428562986748E12,3.1556715447682246E12
124,3.6532944813941387E12,4.969428519929561E12,5.320354040365097E12,3.1100143686160376E12,1.4111799765946086E12,3.162792695067017E12
125,3.6534582230182964E12,4.983693811740953E12,5.343992571740373E12,3.124277326645185E12,1.4955913374824104E12,3.1699138453658096E12
126,3.6946364892626826E12,4.999993659495657E12,5.367631103115649E12,3.1385402846743325E12,1.5618992986026863E12,3.177034995664602E12
127,3.723461275633753E12,5.127844763517971E12,5.427167012709354E12,3.15280324270348E12,1.3558496057920105E12,3.1841561459633945E12
128,3.4837692394813555E12,5.176744306782082E12,5.486702922303058E12,3.166971744056938E12,1.4221575669122864E12,3.191277296262187E12
129,3.537618453259668E12,4.335672237223917E12,5.524976007041867E12,3.1812347020860854E12,1.3315698134573943E12,3.1983984465609795E12
130,3.575312902904487E12,4.3490474317925024E12,5.545783751326524E12,3.195497660115233E12,1.3978777745776702E12,3.205519596859772E12
131,3.158322539686645E12,4.3643576773494707E12,5.579728220667624E12,3.2097606181443804E12,1.3739838860962688E12,3.2126407471585645E12
132,3.1584862813108027E12,4.484231383034285E12,5.600991045522519E12,3.224023576173528E12,1.334077189318726E12,3.219761897457357E12
133,3.199664547555189E12,4.530162119705189E12,5.622253870377413E12,3.238192077526986E12,1.400385150439002E12,3.2268830477561494E12
134,3.2284893339262593E12,4.429259365543708E12,5.642099173575314E12,3.2264909499851978E12,1.3197560466092632E12,3.234004198054942E12
135,3.087355500507256E12,4.444569611100676E12,5.705660557939947E12,3.240753908014345E12,1.345104803632627E12,3.2411253483537344E12
136,3.100165816579882E12,4.56444331678549E12,5.729299089315224E12,3.2550168660434927E12,1.4279897550329717E12,3.244680524461074E12
137,3.128224105584582E12,4.610374053456395E12,5.788834998908928E12,3.26927982407264E12,1.3783612056749917E12,3.2490956376463257E12
138,3.1820733193628945E12,4.337733509171165E12,5.848370908502632E12,3.2835427821017876E12,1.3555198245129597E12,3.2526508137536655E12
139,3.2197677690077134E12,4.399032563214536E12,5.882315377843731E12,3.2977112834552456E12,1.3576248391516985E12,3.257065926938917E12
